,MAP_ID,STATION_NAME,STATION_DESCRIPTIVE_NAME,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,latitude,longitude
223,41400,Roosevelt,"Roosevelt (Red, Orange & Green Lines)",True,True,False,True,False,False,False,False,False,True,41.867368,-87.627402
224,40820,Rosemont,Rosemont (Blue Line),True,False,True,False,False,False,False,False,False,False,41.983507,-87.859388
226,40800,Sedgwick,Sedgwick (Brown & Purple Lines),True,False,False,False,True,False,True,False,False,False,41.910409,-87.639302
228,40080,Sheridan,Sheridan (Red Line),False,True,False,False,False,False,False,False,False,False,41.953775,-87.65492900000001
232,40840,South Boulevard,South Boulevard (Purple Line),False,False,False,False,False,True,True,False,False,False,42.027612,-87.678329
234,40360,Southport,Southport (Brown Line),True,False,False,False,True,False,False,False,False,False,41.943744,-87.663619
236,40190,Sox-35th,Sox-35th (Red Line),True,True,False,False,False,False,False,False,False,False,41.831191,-87.630636
238,40260,State/Lake,"State/Lake (Brown, Green, Orange, Pink & Purple Lines)",False,False,False,True,True,False,True,False,True,True,41.885740000000006,-87.627835
240,40880,Thorndale,Thorndale (Red Line),False,True,False,False,False,False,False,False,False,False,41.990259,-87.659076
242,40350,UIC-Halsted,UIC-Halsted (Blue Line),True,False,True,False,False,False,False,False,False,False,41.875474,-87.64970699999999
244,40140,Dempster-Skokie,Dempster-Skokie  (Yellow Line),True,False,False,False,False,False,False,True,False,False,42.038951000000004,-87.751919
245,40730,Washington/Wells,"Washington/Wells (Brown, Orange, Purple & Pink Lines)",True,False,False,False,True,False,True,False,True,True,41.882695,-87.63378
247,41210,Wellington,Wellington (Brown & Purple Lines),True,False,False,False,True,False,True,False,False,False,41.936033,-87.653266
249,40310,Western,Western (Orange Line),True,False,False,False,False,False,False,False,False,True,41.804546,-87.68401899999999
251,40740,Western,Western (Pink Line),True,False,False,False,False,False,False,False,True,False,41.854225,-87.685129
255,40370,Washington,Washington (Blue Line),False,False,True,False,False,False,False,False,False,False,41.883164,-87.62944
257,41480,Western,Western (Brown Line),True,False,False,False,True,False,False,False,False,False,41.966163,-87.688502
260,40630,Clark/Division,Clark/Division (Red Line),True,True,False,False,False,False,False,False,False,False,41.90392,-87.631412
264,41080,47th,47th (Green Line),True,False,False,True,False,False,False,False,False,False,41.809209,-87.618826
266,41230,47th,47th (Red Line),True,True,False,False,False,False,False,False,False,False,41.810318,-87.63094
269,40570,California,California (Blue Line),False,False,True,False,False,False,False,False,False,False,41.921939,-87.69689
271,41410,Chicago,Chicago (Blue Line),False,False,True,False,False,False,False,False,False,False,41.896075,-87.655214
272,40710,Chicago,Chicago (Brown & Purple Lines),True,False,False,False,True,False,True,False,False,False,41.896809999999995,-87.635924
274,41450,Chicago,Chicago (Red Line),True,True,False,False,False,False,False,False,False,False,41.896671000000005,-87.628176
277,40910,63rd,63rd (Red Line),True,True,False,False,False,False,False,False,False,False,41.780536,-87.63095200000001
282,40670,Western,Western (Blue Line - O'Hare Branch),True,False,True,False,False,False,False,False,False,False,41.916157,-87.687364
286,40220,Western,Western (Blue Line - Forest Park Branch),False,False,True,False,False,False,False,False,False,False,41.875478,-87.688436
289,41690,Cermak-McCormick Place,Cermak-McCormick Place (Green Line),True,False,False,True,False,False,False,False,False,False,41.853115,-87.626402
291,40540,Wilson,Wilson (Red & Purple Lines),True,True,False,False,False,False,True,False,False,False,41.964273,-87.657588
292,41700,Washington/Wabash,"Washington/Wabash (Brown, Green, Orange, Purple & Pink Lines)",True,False,False,True,True,False,True,False,True,True,41.88322,-87.626189
293,41240,Addison,Addison (Blue Line),True,False,True,False,False,False,False,False,False,False,41.947379999999995,-87.71906
0,40200,Randolph/Wabash,Randolph/Wabash,,False,False,True,True,False,True,False,True,True,41.884431,-87.626149
1,40500,Washington/State,Washington/State,,True,False,False,False,False,False,False,False,False,41.8837,-87.6278
2,40640,Madison/Wabash,Madison/Wabash,,False,False,True,True,False,True,False,True,True,41.882023,-87.626098
